RSSI-UP,RSSI-DW,Latitude,Longitude,x,y,z,geometry
-72.0,,37.60178333333333,-0.9781666666666666,1708.553,25.37794,669.7165,POINT (678476.6931925078 4163555.436504792)
-71.0,-72.0,37.6018,-0.9781666666666666,1708.513,25.46581,671.5659,POINT (678476.6533561384 4163557.285877598)
-67.0,-67.0,37.601816666666664,-0.978,1723.188,20.03343,673.7322,POINT (678491.3275343413 4163559.45221053)
-67.0,-67.0,37.60183333333333,-0.978,1723.148,19.48339,675.5816,POINT (678491.287694654 4163561.3015833916)
-68.0,-70.0,37.6019,-0.9778333333333332,1737.702,17.85535,683.2961,POINT (678505.8423342912 4163569.016061415)
-67.0,-67.0,37.601933333333335,-0.9778333333333332,1737.623,18.15676,686.9948,POINT (678505.7626481745 4163572.7148072883)
-67.0,-62.0,37.60195,-0.9778333333333332,1737.583,18.31003,688.8442,POINT (678505.7228050934 4163574.5641802307)
-63.0,-75.0,37.60205,-0.9776666666666666,1752.058,18.6995,700.2574,POINT (678520.1977156273 4163585.9774311106)
-57.0,-59.0,37.60265,-0.9768333333333332,1824.193,16.15644,768.4203,POINT (678592.3324937345 4163654.1403296627)
-81.0,,37.60301666666667,-0.9761666666666666,1882.171,16.51553,810.3754,POINT (678650.3106204204 4163696.0953948367)
-72.0,,37.60185,-0.9765,1855.534,15.4363,680.2848,POINT (678623.6739445706 4163566.0047753314)
-75.0,-78.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-77.0,-76.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-79.0,-75.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-73.0,-84.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-87.0,,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-74.0,-74.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-73.0,,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-76.0,-78.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-79.0,-76.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-76.0,-89.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-81.0,-76.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-76.0,-83.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-79.0,-74.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-72.0,-74.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-75.0,-76.0,37.60313333333333,-0.9858333333333332,1028.494,33.6128,804.9636,POINT (677796.6340939188 4163690.6836497183)
-76.0,-76.0,37.600683333333336,-0.9821666666666666,1358.041,44.20044,540.0588,POINT (678126.1807605706 4163425.778793761)
-77.0,-78.0,37.600683333333336,-0.9821666666666666,1358.041,44.20044,540.0588,POINT (678126.1807605706 4163425.778793761)
-78.0,-77.0,37.600683333333336,-0.9821666666666666,1358.041,44.20044,540.0588,POINT (678126.1807605706 4163425.778793761)
-77.0,-75.0,37.600683333333336,-0.9821666666666666,1358.041,44.20044,540.0588,POINT (678126.1807605706 4163425.778793761)
-75.0,,37.600683333333336,-0.9821666666666666,1358.041,44.20044,540.0588,POINT (678126.1807605706 4163425.778793761)
-85.0,-79.0,37.600683333333336,-0.9821666666666666,1358.041,44.20044,540.0588,POINT (678126.1807605706 4163425.778793761)
-76.0,-78.0,37.6007,-0.9821666666666666,1358.001,42.8457,541.9081,POINT (678126.1410041022 4163427.62816509)
-75.0,-76.0,37.6007,-0.9821666666666666,1358.001,42.8457,541.9081,POINT (678126.1410041022 4163427.62816509)
-75.0,-75.0,37.6007,-0.9821666666666666,1358.001,42.8457,541.9081,POINT (678126.1410041022 4163427.62816509)
-75.0,-76.0,37.600683333333336,-0.9821666666666666,1358.041,44.20044,540.0588,POINT (678126.1807605706 4163425.778793761)
-75.0,-71.0,37.600683333333336,-0.9821666666666666,1358.041,44.20044,540.0588,POINT (678126.1807605706 4163425.778793761)
-78.0,,37.600683333333336,-0.9821666666666666,1358.041,44.20044,540.0588,POINT (678126.1807605706 4163425.778793761)
-73.0,-75.0,37.600566666666666,-0.9816666666666668,1402.462,47.65255,528.0623,POINT (678170.6018120789 4163413.782259124)
-79.0,-70.0,37.60055,-0.9816666666666668,1402.502,48.70436,526.2129,POINT (678170.641578289 4163411.9328876846)
-68.0,-79.0,37.60055,-0.9816666666666668,1402.502,48.70436,526.2129,POINT (678170.641578289 4163411.9328876846)
-80.0,-84.0,37.60055,-0.9816666666666668,1402.502,48.70436,526.2129,POINT (678170.641578289 4163411.9328876846)
-74.0,-79.0,37.60055,-0.9816666666666668,1402.502,48.70436,526.2129,POINT (678170.641578289 4163411.9328876846)
-83.0,-74.0,37.60055,-0.9816666666666668,1402.502,48.70436,526.2129,POINT (678170.641578289 4163411.9328876846)
-79.0,-71.0,37.60055,-0.9816666666666668,1402.502,48.70436,526.2129,POINT (678170.641578289 4163411.9328876846)
-68.0,-85.0,37.60055,-0.9816666666666668,1402.502,48.70436,526.2129,POINT (678170.641578289 4163411.9328876846)
-86.0,-77.0,37.600566666666666,-0.9816666666666668,1402.462,47.65255,528.0623,POINT (678170.6018120789 4163413.782259124)
-69.0,-70.0,37.60055,-0.9816666666666668,1402.502,48.70436,526.2129,POINT (678170.641578289 4163411.9328876846)
-67.0,-77.0,37.60053333333333,-0.9816666666666668,1402.541,49.65421,524.3635,POINT (678170.681344484 4163410.0835162504)
-82.0,,37.600516666666664,-0.9816666666666668,1402.581,50.58991,522.5142,POINT (678170.7211106638 4163408.2341448204)
-90.0,-68.0,37.60035,-0.9818333333333332,1388.265,53.29566,503.704,POINT (678156.4044762879 4163389.424050403)
-73.0,-68.0,37.60045,-0.982,1373.312,53.45962,514.4839,POINT (678141.4516243838 4163400.2039239784)
