time,COUNTER_TESTER,RSSI_TESTER,SNR_TESTER,RSSI_ANALIZADOR,LAT,LON,ALT,SAT,DISTANCIA,LD
2022-12-05T10:27:41Z,2.0,-86.0,10.0,-65.13,37.6014,-0.979862,29.7,16,91.9102571546057,19.633639812127562
2022-12-05T10:27:45Z,3.0,-78.0,7.5,-52.81,37.6014,-0.979867,29.6,15,91.4857749717386,19.613535713172922
2022-12-05T10:27:49Z,4.0,-78.0,8.8,-52.12,37.601398,-0.979912,29.5,14,87.73522654054162,19.431740018093283
2022-12-05T10:27:53Z,5.0,-81.0,8.0,-48.13,37.601382,-0.979953,29.5,13,84.81664579978398,19.284810936430432
2022-12-05T10:27:57Z,6.0,-77.0,10.0,-46.72,37.601348,-0.98,29.4,13,82.2143848159157,19.149478114526065
2022-12-05T10:28:01Z,7.0,-77.0,9.2,-49.3,37.601322,-0.980042,29.7,14,79.94592133452763,19.02796311895982
2022-12-05T10:28:05Z,8.0,-85.0,8.5,-51.22,37.601295,-0.980075,30.4,14,78.64951625448643,18.956960557749028
2022-12-05T10:28:09Z,9.0,-72.0,7.8,-48.87,37.601278,-0.98011,30.4,14,76.84688089708126,18.856262448132977
2022-12-05T10:28:13Z,10.0,-76.0,10.0,-41.05,37.601263,-0.980148,30.8,13,74.83301596833068,18.740932487912385
2022-12-05T10:28:17Z,11.0,-72.0,8.0,-44.05,37.601263,-0.98019,30.5,16,71.72640560953508,18.556790677926728
2022-12-05T10:28:21Z,12.0,-90.0,7.2,-48.0,37.601262,-0.980242,30.0,15,68.02790944088326,18.326871249038437
2022-12-05T10:28:25Z,13.0,-72.0,8.0,-45.13,37.601248,-0.9803,30.3,16,64.94387321596727,18.12538186140315
2022-12-05T10:28:29Z,14.0,-77.0,9.2,-44.82,37.601235,-0.980358,31.4,15,62.08984664951897,17.930205872199572
2022-12-05T10:28:44Z,18.0,-74.0,8.2,-49.09,37.601223,-0.980542,30.4,16,52.72461551572987,17.22013421412838
2022-12-05T10:28:48Z,19.0,-79.0,11.0,-45.81,37.601255,-0.980568,30.6,16,48.491702310068725,16.856674303702672
